q/kF,G-,G- error
0.078125,0.001206,0.000024
0.15625,0.004852,0.000104
0.234375,0.010973,0.000231
0.3125,0.019508,0.000416
0.390625,0.030606,0.000703
0.46875,0.044482,0.00106
0.546875,0.060733,0.001312
0.624998,0.079857,0.001799
0.703126,0.102619,0.002621
0.781249,0.127717,0.003095
0.859377,0.155949,0.003482
0.9375,0.187606,0.004095
1.015628,0.223161,0.005352
1.09375,0.261892,0.005938
1.171873,0.304989,0.006654
1.250001,0.352917,0.00802
1.328124,0.404466,0.009386
1.406252,0.46116,0.010412
1.484375,0.523263,0.011876
1.562497,0.593859,0.015476
1.640625,0.664425,0.017923
1.718748,0.737727,0.018812
1.796876,0.809,0.019041
1.874999,0.869985,0.026333
1.953127,0.881416,0.030295
2.03125,0.807825,0.032711
2.109373,0.71208,0.037346
2.187501,0.646658,0.041635
2.265623,0.606721,0.046808
2.343751,0.570783,0.047139
