q/kF,G+,G+ error
0.078125,0.001530,0.000184
0.156250,0.006123,0.000735
0.234375,0.013773,0.001614
0.312499,0.024450,0.002775
0.390625,0.038382,0.004508
0.468750,0.055025,0.006035
0.546875,0.075038,0.008067
0.625000,0.098344,0.010271
0.703125,0.124948,0.012732
0.781250,0.155143,0.015705
0.859375,0.188545,0.018452
0.937500,0.225733,0.021428
1.015625,0.267466,0.024939
1.093750,0.312779,0.02868
1.171878,0.361752,0.031641
1.249996,0.415573,0.035113
1.328124,0.474764,0.03872
1.406252,0.537713,0.041404
1.484380,0.606888,0.045503
1.562497,0.680655,0.049453
1.640625,0.760438,0.052614
1.718753,0.837919,0.04822
1.796871,0.918919,0.043559
1.874999,0.995100,0.032257
1.953127,1.061336,0.037118
2.031255,1.112334,0.107714
2.109373,1.131529,0.162542
2.187501,1.178158,0.198334
2.265629,1.204969,0.226138
2.343746,1.210232,0.21744
