# q/kF, Gs(q) RA, Ga(q) RA, Gn(q) RA, G+(q) RA, G-(q) RA,G+ ALDA, G+(q) Corradini, G+(q) rMCP07
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812499999999998612e-02,1.688430453851585099e-03,1.325623709870756527e-03,-1.013052757734421883e-04,1.587125178078142938e-03,1.224318434097314365e-03,1.586646086716966874e-03,1.590337581113699522e-03,1.585690137933332784e-03
1.562499999999999722e-01,6.760601824894654950e-03,5.310602304124264171e-03,-4.063446853245819665e-04,6.354257139570072821e-03,4.904257618799682042e-03,6.346584346867867495e-03,6.404905439130167792e-03,6.331310094368437259e-03
2.343750000000000000e-01,1.523723290755168297e-02,1.197938247463857693e-02,-9.184682540005221964e-04,1.431876465355116056e-02,1.106091422063805452e-02,1.427981478045270425e-02,1.456887346367012268e-02,1.420266914840843421e-02
3.124999999999999445e-01,2.715315101779626136e-02,2.137312569976384385e-02,-1.643188243732448791e-03,2.550996277406381366e-02,1.972993745603139615e-02,2.538633738747146998e-02,2.627300544325921611e-02,2.514333949537314247e-02
3.906250000000000000e-01,4.255784280257262492e-02,3.355033857415413295e-02,-2.588065216952757479e-03,3.996977758561987004e-02,3.096227335720137461e-02,3.966615216792418463e-02,4.174847844841143157e-02,3.907555593044655107e-02
4.687500000000000000e-01,6.151640126429815114e-02,4.858774817830437825e-02,-3.762533572423732309e-03,5.775386769187441927e-02,4.482521460588064638e-02,5.711925912181081699e-02,6.123471480471255612e-02,5.590157025540735264e-02
5.468750000000000000e-01,8.411095308568257434e-02,6.658137387669359197e-02,-5.177650608682283183e-03,7.893330247700029723e-02,6.140372326801130792e-02,7.774565824913139134e-02,8.494304751546609411e-02,7.550547822585672308e-02
6.249999999999998890e-01,1.104425331644424829e-01,8.764766729806242052e-02,-6.845747192065857259e-03,1.035967859723766205e-01,8.080192010599655805e-02,1.015453495498858799e-01,1.130194677882348231e-01,9.775544273440490983e-02
7.031250000000000000e-01,1.406331312189861293e-01,1.119244511463649561e-01,-8.779951060310315150e-03,1.318531801586758090e-01,1.031445000860546357e-01,1.285183330240743382e-01,1.455098581435638472e-01,1.225060944515168893e-01
7.812500000000000000e-01,1.748272169631683304e-01,1.395711560328193324e-01,-1.099354547454884160e-02,1.638336714886194923e-01,1.285776105582704942e-01,1.586646086716967385e-01,1.823309653470285285e-01,1.496007290042091209e-01
8.593750000000000000e-01,2.131913877962464399e-01,1.707674927784251506e-01,-1.349911620955857212e-02,1.996922715866878695e-01,1.572683765688665802e-01,1.919841764927530114e-01,2.232499136308663257e-01,1.788727953064548071e-01
