# rs, eps_c
1.000000000000000194e-01,-1.213161631315100852e-01
1.074243762989364748e-01,-1.192335629402333785e-01
1.153999662321550795e-01,-1.171545380656329738e-01
1.239676939740758793e-01,-1.150794546115790074e-01
1.331715220638252373e-01,-1.130086908187248607e-01
1.430586769848648521e-01,-1.109426372093650637e-01
1.536798914925012471e-01,-1.088816967103397870e-01
1.650896649327017740e-01,-1.068262846718787129e-01
1.773465428879588968e-01,-1.047768288919796731e-01
1.905134175851157519e-01,-1.027337695712239596e-01
2.046578506065989678e-01,-1.006975592603144842e-01
2.198524195609480869e-01,-9.866866264845303158e-02
2.361750904914695082e-01,-9.664755646046255255e-02
2.537096179339099478e-01,-9.463472974606174093e-02
2.725459746759174018e-01,-9.263070123618842577e-02
2.927808134234615722e-01,-9.063599387317294864e-02
3.145179627431064495e-01,-8.865113246725558893e-02
3.378689598249035586e-01,-8.667665201665128438e-02
3.629536227996068010e-01,-8.471309710784361013e-02
3.899006655468721383e-01,-8.276102120109501969e-02
4.188483581491296293e-01,-8.082098598666601075e-02
4.499452363800381938e-01,-7.889356062810097547e-02
4.833508638680313330e-01,-7.697932099370521919e-02
5.192366508457542107e-01,-7.507886431787111348e-02
5.577867336865379722e-01,-7.319283797088205201e-02
5.991989197409730572e-01,-7.132184104181807371e-02
6.436857023217052998e-01,-6.946646927442814978e-02
6.914753510445206253e-01,-6.762731987225356622e-02
7.428130831204579065e-01,-6.580499095274451593e-02
7.979623216090523385e-01,-6.400011383537962395e-02
8.572060470890379147e-01,-6.221338298794694410e-02
9.208482496821668306e-01,-6.044539454492517394e-02
9.892154888807408453e-01,-5.869673430468970443e-02
1.062658569182610924e+00,-5.696799403982594906e-02
1.141554340131622602e+00,-5.525988759021306651e-02
1.226307629999835225e+00,-5.357301736566875972e-02
1.317353323033592316e+00,-5.190793138382952809e-02
1.415158590922150239e+00,-5.026524695013283306e-02
1.520225289938938129e+00,-4.864564638690237891e-02
1.633092536055602562e+00,-4.704963098038492803e-02
1.754339471242215120e+00,-4.547778362388180812e-02
1.884588235148010105e+00,-4.393075143642190261e-02
2.024507157410883718e+00,-4.240897914436709409e-02
2.174814186975969843e+00,-4.091309691971579954e-02
2.336280576019721167e+00,-3.944358386820801671e-02
2.509734837382386452e+00,-3.800092871302410136e-02
2.696066995815155742e+00,-3.658566519562891223e-02
2.896233154855904601e+00,-3.519818800660294567e-02
3.111260402766967026e+00,-3.383900299739084350e-02
3.342252082708192962e+00,-3.250845642603235330e-02
3.590393454187490008e+00,-3.120698240442582733e-02
3.856957774838751796e+00,-2.993490139853517001e-02
4.143312833733869383e+00,-2.869253986190101191e-02
4.450927969752398461e+00,-2.748021170027343391e-02
4.781381611021429556e+00,-2.629812250931342146e-02
5.136369374111810160e+00,-2.514654742223631362e-02
5.517712764549201232e+00,-2.402562353629102143e-02
5.927368523283786494e+00,-2.293549586838017351e-02
6.367438667077084169e+00,-2.187626151122596188e-02
6.840181274324874217e+00,-2.084797558776819298e-02
7.348022071660136767e+00,-1.985065051726575547e-02
7.893566880789094853e+00,-1.888425571059768743e-02
8.479614989427101790e+00,-1.794871589439952717e-02
9.109173514943186944e+00,-1.704390424379650590e-02
9.785472834415630317e+00,-1.616964803900187986e-02
1.051198316027285351e+01,-1.532572945812527010e-02
1.129243234657233863e+01,-1.451188734852602857e-02
1.213082501728469431e+01,-1.372787355257655897e-02
1.303146311473343921e+01,-1.297325301926769564e-02
1.399896797362834810e+01,-1.224769955469578661e-02
1.503830403395812354e+01,-1.155076897102364636e-02
1.615480431441730858e+01,-1.088197227989033677e-02
1.735419777707647881e+01,-1.024082082584538110e-02
1.864263872370830910e+01,-9.626859184875878259e-03
2.002673837460764972e+01,-9.039445594104265902e-03
2.151359879194204439e+01,-8.477973012471964193e-03
2.311084932169927697e+01,-7.941929135052545885e-03
2.482668574122242688e+01,-7.430575889468526637e-03
2.666991231320519162e+01,-6.943320855687575704e-03
2.864998696193394778e+01,-6.479471234789188627e-03
3.077706980358414057e+01,-6.038370641176834218e-03
3.306207527958858350e+01,-5.619263566048101829e-03
3.551672816058290749e+01,-5.221587989332055271e-03
3.815362370829489436e+01,-4.844473591127178638e-03
4.098629230407895818e+01,-4.477464294783581669e-03
4.402926887571579329e+01,-4.136172718100038226e-03
4.729816747871947058e+01,-3.816502876040664752e-03
5.080976141484080699e+01,-3.515616072495801950e-03
5.458206929887038683e+01,-3.232359600256137951e-03
5.863444751536479060e+01,-2.965870575346825529e-03
6.298768953970795792e+01,-2.715353626192820898e-03
6.766413263314167637e+01,-2.479880415432949604e-03
7.268777245923755004e+01,-2.259884502899848699e-03
7.808438620992613721e+01,-2.052008636311619411e-03
8.388166487286586914e+01,-1.858441254998744081e-03
9.010935531884018701e+01,-1.677019985326748440e-03
9.679941293825672233e+01,-1.509927835939538178e-03
1.039861656099542415e+02,-1.354449609750000031e-03
1.117064898436724434e+02,-1.203611370369395790e-03
1.199999999999999716e+02,-1.073465142036693180e-03
