# rs, eps_c
1.000000000000000194e-01,-1.206895983718473536e-01
1.074243762989364748e-01,-1.186295895820114882e-01
1.153999662321550795e-01,-1.165731865428672742e-01
1.239676939740758793e-01,-1.145207694058021364e-01
1.331715220638252373e-01,-1.124727217846611671e-01
1.430586769848648521e-01,-1.104294344612719719e-01
1.536798914925012471e-01,-1.083913412992321135e-01
1.650896649327017740e-01,-1.063588467570948382e-01
1.773465428879588968e-01,-1.043323929884977658e-01
1.905134175851157519e-01,-1.023124463165538262e-01
2.046578506065989678e-01,-1.002994631678816306e-01
2.198524195609480869e-01,-9.829387871001860066e-02
2.361750904914695082e-01,-9.629619188208650427e-02
2.537096179339099478e-01,-9.430694327354646744e-02
2.725459746759174018e-01,-9.232658843066504639e-02
2.927808134234615722e-01,-9.035567264063523729e-02
3.145179627431064495e-01,-8.839471602124521210e-02
3.378689598249035586e-01,-8.644424924089295914e-02
3.629536227996068010e-01,-8.450482309767300138e-02
3.899006655468721383e-01,-8.257694944986883334e-02
4.188483581491296293e-01,-8.066123916517775605e-02
4.499452363800381938e-01,-7.875823032907502963e-02
4.833508638680313330e-01,-7.686849320388738915e-02
5.192366508457542107e-01,-7.499259628012150403e-02
5.577867336865379722e-01,-7.313108903813948791e-02
5.991989197409730572e-01,-7.128459705528863988e-02
6.436857023217052998e-01,-6.945371679893891370e-02
6.914753510445206253e-01,-6.763894425348257466e-02
7.428130831204579065e-01,-6.584089352645720872e-02
7.979623216090523385e-01,-6.406011156506710713e-02
8.572060470890379147e-01,-6.229729337893410990e-02
9.208482496821668306e-01,-6.055274182760967544e-02
9.892154888807408453e-01,-5.882723873499177969e-02
1.062658569182610924e+00,-5.712125878202782558e-02
1.141554340131622602e+00,-5.543536843631392819e-02
1.226307629999835225e+00,-5.377004921438685581e-02
1.317353323033592316e+00,-5.212587668905687560e-02
1.415158590922150239e+00,-5.050335091390393411e-02
1.520225289938938129e+00,-4.890298080141841641e-02
1.633092536055602562e+00,-4.732526017086355341e-02
1.754339471242215120e+00,-4.577066848423654022e-02
1.884588235148010105e+00,-4.423968802069175310e-02
2.024507157410883718e+00,-4.273278939756355171e-02
2.174814186975969843e+00,-4.125042214969328741e-02
2.336280576019721167e+00,-3.979304031976184375e-02
2.509734837382386452e+00,-3.836107295644552301e-02
2.696066995815155742e+00,-3.695494176819502652e-02
2.896233154855904601e+00,-3.557510652920319039e-02
3.111260402766967026e+00,-3.422191659285144655e-02
3.342252082708192962e+00,-3.289584978807334747e-02
3.590393454187490008e+00,-3.159721066749773821e-02
3.856957774838751796e+00,-3.032643174624471971e-02
4.143312833733869383e+00,-2.908386141472770609e-02
4.450927969752398461e+00,-2.786985956090833744e-02
4.781381611021429556e+00,-2.668473832456227934e-02
5.136369374111810160e+00,-2.553356825835205457e-02
5.517712764549201232e+00,-2.442006520341076514e-02
5.927368523283786494e+00,-2.333663509864546473e-02
6.367438667077084169e+00,-2.228334444597226960e-02
6.840181274324874217e+00,-2.126021745645027133e-02
7.348022071660136767e+00,-2.026723524132950649e-02
7.893566880789094853e+00,-1.930433322241195682e-02
8.479614989427101790e+00,-1.837140151664043083e-02
9.109173514943186944e+00,-1.746828962884505038e-02
9.785472834415630317e+00,-1.659479802701421119e-02
1.051198316027285351e+01,-1.575067407090866012e-02
1.129243234657233863e+01,-1.493563641917725060e-02
1.213082501728469431e+01,-1.414934773020196102e-02
1.303146311473343921e+01,-1.339143366583436801e-02
1.399896797362834810e+01,-1.266148162017904227e-02
1.503830403395812354e+01,-1.195905259130148821e-02
1.615480431441730858e+01,-1.128362530138877703e-02
1.735419777707647881e+01,-1.063472777382500067e-02
1.864263872370830910e+01,-1.001180742161752839e-02
2.002673837460764972e+01,-9.414317902908156399e-03
2.151359879194204439e+01,-8.841690987439409025e-03
2.311084932169927697e+01,-8.293357970034092447e-03
2.482668574122242688e+01,-7.768746725317726004e-03
2.666991231320519162e+01,-7.267300598239376415e-03
2.864998696193394778e+01,-6.788469852742647428e-03
3.077706980358414057e+01,-6.331713468334882258e-03
3.306207527958858350e+01,-5.896523320150371360e-03
3.551672816058290749e+01,-5.482403207382022421e-03
3.815362370829489436e+01,-5.088860768567390024e-03
4.098629230407895818e+01,-4.701852792259984468e-03
4.402926887571579329e+01,-4.343026432296172648e-03
4.729816747871947058e+01,-4.007486313872696271e-03
5.080976141484080699e+01,-3.691968460048892543e-03
5.458206929887038683e+01,-3.395310112648425218e-03
5.863444751536479060e+01,-3.116680515832886966e-03
6.298768953970795792e+01,-2.833426201465808012e-03
6.766413263314167637e+01,-2.587517998733644513e-03
7.268777245923755004e+01,-2.362313152672484897e-03
7.808438620992613721e+01,-2.152318943649915439e-03
8.388166487286586914e+01,-1.956022244178299077e-03
9.010935531884018701e+01,-1.772562012873679649e-03
9.679941293825672233e+01,-1.601255183283570825e-03
1.039861656099542415e+02,-1.441483524325729015e-03
1.117064898436724434e+02,-1.292673615114385034e-03
1.199999999999999716e+02,-1.154265476582221409e-03
