# rs, eps_c
1.000000000000000194e-01,-1.193077507813328914e-01
1.074243762989364748e-01,-1.171987971866658707e-01
1.153999662321550795e-01,-1.150965790961801238e-01
1.239676939740758793e-01,-1.130014268082407680e-01
1.331715220638252373e-01,-1.109136825934287501e-01
1.430586769848648521e-01,-1.088337008577282689e-01
1.536798914925012471e-01,-1.067618482941231073e-01
1.650896649327017740e-01,-1.046985039414650709e-01
1.773465428879588968e-01,-1.026440592601969709e-01
1.905134175851157519e-01,-1.005989181483001454e-01
2.046578506065989678e-01,-9.856349695928448562e-02
2.198524195609480869e-01,-9.653822436620558556e-02
2.361750904914695082e-01,-9.452354133465010189e-02
2.537096179339099478e-01,-9.251990084151777427e-02
2.725459746759174018e-01,-9.052776317523941740e-02
2.927808134234615722e-01,-8.854760182942068847e-02
3.145179627431064495e-01,-8.657990348501076738e-02
3.378689598249035586e-01,-8.462516568014497031e-02
3.629536227996068010e-01,-8.268389638201874281e-02
3.899006655468721383e-01,-8.075661340383455400e-02
4.188483581491296293e-01,-7.884384384115346311e-02
4.499452363800381938e-01,-7.694612330859815219e-02
4.833508638680313330e-01,-7.506399501116239881e-02
5.192366508457542107e-01,-7.319800344287699656e-02
5.577867336865379722e-01,-7.134868213566943063e-02
5.991989197409730572e-01,-6.951658658730774931e-02
6.436857023217052998e-01,-6.770227820318953926e-02
6.914753510445206253e-01,-6.590632093971128536e-02
7.428130831204579065e-01,-6.412927974748140747e-02
7.979623216090523385e-01,-6.237170301720715293e-02
8.572060470890379147e-01,-6.063410348126466176e-02
9.208482496821668306e-01,-5.891703232603702489e-02
9.892154888807408453e-01,-5.722103963510731528e-02
1.062658569182610924e+00,-5.554666303993279625e-02
1.141554340131622602e+00,-5.389435148075024523e-02
1.226307629999835225e+00,-5.226459504615253715e-02
1.317353323033592316e+00,-5.065790237341287472e-02
1.415158590922150239e+00,-4.907471476431957830e-02
1.520225289938938129e+00,-4.751538296319464394e-02
1.633092536055602562e+00,-4.598036182113586501e-02
1.754339471242215120e+00,-4.447001924847586440e-02
1.884588235148010105e+00,-4.298459883985716184e-02
2.024507157410883718e+00,-4.152449561009327605e-02
2.174814186975969843e+00,-4.008988281986436419e-02
2.336280576019721167e+00,-3.868099542775423061e-02
2.509734837382386452e+00,-3.729805854049558084e-02
2.696066995815155742e+00,-3.594110788460092021e-02
2.896233154855904601e+00,-3.461036449025384210e-02
3.111260402766967026e+00,-3.330574576504474749e-02
3.342252082708192962e+00,-3.202741916112078480e-02
3.590393454187490008e+00,-3.077522542975977271e-02
3.856957774838751796e+00,-2.954926264029709287e-02
4.143312833733869383e+00,-2.834934812735592780e-02
4.450927969752398461e+00,-2.717546086940257274e-02
4.781381611021429556e+00,-2.602750360763320114e-02
5.136369374111810160e+00,-2.490529423814759336e-02
5.517712764549201232e+00,-2.380878888458713705e-02
5.927368523283786494e+00,-2.273784946418520858e-02
6.367438667077084169e+00,-2.169237137838948837e-02
6.840181274324874217e+00,-2.067226189984722878e-02
7.348022071660136767e+00,-1.967744335904027600e-02
7.893566880789094853e+00,-1.870785514942257741e-02
8.479614989427101790e+00,-1.776344709720806964e-02
9.109173514943186944e+00,-1.684416494102453782e-02
9.785472834415630317e+00,-1.594997374207325971e-02
1.051198316027285351e+01,-1.508084145938748746e-02
1.129243234657233863e+01,-1.423673295984340462e-02
1.213082501728469431e+01,-1.341765890239142965e-02
1.303146311473343921e+01,-1.262346917448470968e-02
1.399896797362834810e+01,-1.185412634210820590e-02
1.503830403395812354e+01,-1.110939530012197349e-02
1.615480431441730858e+01,-1.038903823110484854e-02
1.735419777707647881e+01,-9.692832402856236401e-03
1.864263872370830910e+01,-9.020576518611503336e-03
2.002673837460764972e+01,-8.371586242121680649e-03
2.151359879194204439e+01,-7.745378769845421597e-03
2.311084932169927697e+01,-7.141624912994378946e-03
2.482668574122242688e+01,-6.559125238045052271e-03
2.666991231320519162e+01,-5.997514455896468810e-03
2.864998696193394778e+01,-5.455316955894511967e-03
3.077706980358414057e+01,-4.931938474137930600e-03
3.306207527958858350e+01,-4.425182137693185573e-03
3.551672816058290749e+01,-3.934429694448383051e-03
3.815362370829489436e+01,-3.456815430565916489e-03
4.098629230407895818e+01,-2.978980211515186872e-03
4.402926887571579329e+01,-2.514976182811523228e-03
4.729816747871947058e+01,-2.055324555192431825e-03
5.080976141484080699e+01,-1.586706016050435947e-03
5.458206929887038683e+01,-1.078585662327817768e-03
5.863444751536479060e+01,-3.155587100465259871e-04
6.298768953970795792e+01,7.922908588444540901e-06
6.766413263314167637e+01,4.569105757903167697e-03
7.268777245923755004e+01,1.153001363087678699e-03
7.808438620992613721e+01,3.904036329301001449e-04
8.388166487286586914e+01,-3.032710182553944867e-01
9.010935531884018701e+01,4.373361621060076199e-02
9.679941293825672233e+01,-1.788836101175778417e-02
1.039861656099542415e+02,-5.275002692361565639e-04
1.117064898436724434e+02,-6.269267412830326590e-04
1.199999999999999716e+02,-2.039553671996247215e-03
