# rs, eps_c
1.000000000000000194e-01,-1.266872542894176834e-01
1.074243762989364748e-01,-1.245338693767412686e-01
1.153999662321550795e-01,-1.223877909359079169e-01
1.239676939740758793e-01,-1.202493963727327697e-01
1.331715220638252373e-01,-1.181190740931230276e-01
1.430586769848648521e-01,-1.159972235075037439e-01
1.536798914925012471e-01,-1.138842550288057531e-01
1.650896649327017740e-01,-1.117805899848049178e-01
1.773465428879588968e-01,-1.096866605550948504e-01
1.905134175851157519e-01,-1.076029096581943845e-01
2.046578506065989678e-01,-1.055297908514506167e-01
2.198524195609480869e-01,-1.034677680903074715e-01
2.361750904914695082e-01,-1.014173156156499833e-01
2.537096179339099478e-01,-9.937891778710658541e-02
2.725459746759174018e-01,-9.735307006723933898e-02
2.927808134234615722e-01,-9.534027692963140121e-02
3.145179627431064495e-01,-9.334105090237487801e-02
3.378689598249035586e-01,-9.135591283917376959e-02
3.629536227996068010e-01,-8.938539132651003583e-02
3.899006655468721383e-01,-8.743002189553625292e-02
4.188483581491296293e-01,-8.549034621597451089e-02
4.499452363800381938e-01,-8.356691106578546802e-02
4.833508638680313330e-01,-8.166026716193500179e-02
5.192366508457542107e-01,-7.977096725761835538e-02
5.577867336865379722e-01,-7.789956302625015983e-02
5.991989197409730572e-01,-7.604660806119185879e-02
6.436857023217052998e-01,-7.421265282979409850e-02
6.914753510445206253e-01,-7.239824201964167871e-02
7.428130831204579065e-01,-7.060391209775553067e-02
7.979623216090523385e-01,-6.883018204847378418e-02
8.572060470890379147e-01,-6.707754308935427734e-02
9.208482496821668306e-01,-6.534648574876147920e-02
9.892154888807408453e-01,-6.363747784517966022e-02
1.062658569182610924e+00,-6.195095668131673367e-02
1.141554340131622602e+00,-6.028728075614595006e-02
1.226307629999835225e+00,-5.864680343920666838e-02
1.317353323033592316e+00,-5.702985041030922408e-02
1.415158590922150239e+00,-5.543666210776841685e-02
1.520225289938938129e+00,-5.386737432734522990e-02
1.633092536055602562e+00,-5.232214830772548286e-02
1.754339471242215120e+00,-5.080102929941025802e-02
1.884588235148010105e+00,-4.930391766288464567e-02
2.024507157410883718e+00,-4.783077787456985197e-02
2.174814186975969843e+00,-4.638134740568022885e-02
2.336280576019721167e+00,-4.495536639851496069e-02
2.509734837382386452e+00,-4.355252727962351939e-02
2.696066995815155742e+00,-4.217233378308136993e-02
2.896233154855904601e+00,-4.081442145844416808e-02
3.111260402766967026e+00,-3.947817207469999506e-02
3.342252082708192962e+00,-3.816317554345931284e-02
3.590393454187490008e+00,-3.686878607612251169e-02
3.856957774838751796e+00,-3.559460284219827936e-02
4.143312833733869383e+00,-3.434005173038753161e-02
4.450927969752398461e+00,-3.310477546434210938e-02
4.781381611021429556e+00,-3.188840161035225163e-02
5.136369374111810160e+00,-3.069063568180865204e-02
5.517712764549201232e+00,-2.951133482575241801e-02
5.927368523283786494e+00,-2.835041236582352964e-02
6.367438667077084169e+00,-2.720790111320228050e-02
6.840181274324874217e+00,-2.608393724791585599e-02
7.348022071660136767e+00,-2.497875298279683687e-02
7.893566880789094853e+00,-2.389266420577805528e-02
8.479614989427101790e+00,-2.282604692725560824e-02
9.109173514943186944e+00,-2.177929997871440662e-02
9.785472834415630317e+00,-2.075284351685269604e-02
1.051198316027285351e+01,-1.974708453162787869e-02
1.129243234657233863e+01,-1.876239214599964913e-02
1.213082501728469431e+01,-1.779913092382854473e-02
1.303146311473343921e+01,-1.685744389942731361e-02
1.399896797362834810e+01,-1.593751005985636487e-02
1.503830403395812354e+01,-1.503914482337672179e-02
1.615480431441730858e+01,-1.416205570332228561e-02
1.735419777707647881e+01,-1.330585767943189696e-02
1.864263872370830910e+01,-1.247006609011001160e-02
2.002673837460764972e+01,-1.165312675060825760e-02
2.151359879194204439e+01,-1.085354500636943192e-02
2.311084932169927697e+01,-1.006977254465204162e-02
2.482668574122242688e+01,-9.297403083814810218e-03
2.666991231320519162e+01,-8.532977486398104702e-03
2.864998696193394778e+01,-7.766720677720688124e-03
3.077706980358414057e+01,-6.986167725445904461e-03
3.306207527958858350e+01,-6.141199549893072013e-03
3.551672816058290749e+01,-5.203713624319266859e-03
3.815362370829489436e+01,8.533570487335655045e-05
4.098629230407895818e+01,-3.849310923587322825e-03
4.402926887571579329e+01,-4.292041673382309026e-03
4.729816747871947058e+01,-4.171895375255280092e-03
5.080976141484080699e+01,-3.290171489002022623e-03
5.458206929887038683e+01,1.895535124285078598e-03
5.863444751536479060e+01,-9.358020547948443443e-04
6.298768953970795792e+01,-4.209378140295632481e-03
6.766413263314167637e+01,1.945430783907652712e-03
7.268777245923755004e+01,-5.201448705393739089e-03
7.808438620992613721e+01,-1.605018667878140709e-02
8.388166487286586914e+01,-2.900915949341792682e-03
9.010935531884018701e+01,1.486725203393492699e-02
9.679941293825672233e+01,-3.983192345934598658e-03
1.039861656099542415e+02,-1.140073728389485869e-01
1.117064898436724434e+02,1.781678930334711693e-03
1.199999999999999716e+02,2.392831124012501001e-03
