# rs, eps_c
1.000000000000000194e-01,-1.195016222960063185e-01
1.074243762989364748e-01,-1.173862246651843633e-01
1.153999662321550795e-01,-1.152775094161561931e-01
1.239676939740758793e-01,-1.131758168793286501e-01
1.331715220638252373e-01,-1.110815005679004208e-01
1.430586769848648521e-01,-1.089949274841225668e-01
1.536798914925012471e-01,-1.069164784336086443e-01
1.650896649327017740e-01,-1.048465482687566397e-01
1.773465428879588968e-01,-1.027855461719615199e-01
1.905134175851157519e-01,-1.007338959033171055e-01
2.046578506065989678e-01,-9.869203607541865431e-02
2.198524195609480869e-01,-9.666042029933613611e-02
2.361750904914695082e-01,-9.463951746484797201e-02
2.537096179339099478e-01,-9.262981195111789912e-02
2.725459746759174018e-01,-9.063180492027611557e-02
2.927808134234615722e-01,-8.864601291898752122e-02
3.145179627431064495e-01,-8.667296750947632578e-02
3.378689598249035586e-01,-8.471321595328674958e-02
3.629536227996068010e-01,-8.276732108891200757e-02
3.899006655468721383e-01,-8.083586101767234466e-02
4.188483581491296293e-01,-7.891942875275198555e-02
4.499452363800381938e-01,-7.701863159582540697e-02
4.833508638680313330e-01,-7.513409026376088873e-02
5.192366508457542107e-01,-7.326643687735209798e-02
5.577867336865379722e-01,-7.141631196587132357e-02
5.991989197409730572e-01,-6.958436950852747716e-02
6.436857023217052998e-01,-6.777127175536092063e-02
6.914753510445206253e-01,-6.597768622072162914e-02
7.428130831204579065e-01,-6.420428262167636457e-02
7.979623216090523385e-01,-6.245172165388010455e-02
8.572060470890379147e-01,-6.072064395549577054e-02
9.208482496821668306e-01,-5.901170117798107406e-02
9.892154888807408453e-01,-5.732553113434406267e-02
1.062658569182610924e+00,-5.566274576835786303e-02
1.141554340131622602e+00,-5.402387635899712215e-02
1.226307629999835225e+00,-5.240945424456837365e-02
1.317353323033592316e+00,-5.081998555667475992e-02
1.415158590922150239e+00,-4.925588083340880219e-02
1.520225289938938129e+00,-4.771743264632174325e-02
1.633092536055602562e+00,-4.620495735142403360e-02
1.754339471242215120e+00,-4.471863248689813414e-02
1.884588235148010105e+00,-4.325846336645577939e-02
2.024507157410883718e+00,-4.182451076731209805e-02
2.174814186975969843e+00,-4.041656489060099083e-02
2.336280576019721167e+00,-3.903439901922293315e-02
2.509734837382386452e+00,-3.767770994359742609e-02
2.696066995815155742e+00,-3.634596551616267601e-02
2.896233154855904601e+00,-3.503875629255896046e-02
3.111260402766967026e+00,-3.375537290199015494e-02
3.342252082708192962e+00,-3.249531909174467603e-02
3.590393454187490008e+00,-3.125782315128207423e-02
3.856957774838751796e+00,-3.004237281806091883e-02
4.143312833733869383e+00,-2.884825821398723233e-02
4.450927969752398461e+00,-2.767499819308168879e-02
4.781381611021429556e+00,-2.652210139996773186e-02
5.136369374111810160e+00,-2.538914801034937788e-02
5.517712764549201232e+00,-2.427589922184809207e-02
5.927368523283786494e+00,-2.318217321477601678e-02
6.367438667077084169e+00,-2.210792284233195973e-02
6.840181274324874217e+00,-2.105321602323689464e-02
7.348022071660136767e+00,-2.001822580167980994e-02
7.893566880789094853e+00,-1.900321371191425121e-02
8.479614989427101790e+00,-1.800850030886465628e-02
9.109173514943186944e+00,-1.703442115956541394e-02
9.785472834415630317e+00,-1.608131918688767217e-02
1.051198316027285351e+01,-1.514950309475588189e-02
1.129243234657233863e+01,-1.423921595268226765e-02
1.213082501728469431e+01,-1.335066221974191142e-02
1.303146311473343921e+01,-1.248378444908873272e-02
1.399896797362834810e+01,-1.163851213767207876e-02
1.503830403395812354e+01,-1.081435073549013789e-02
1.615480431441730858e+01,-1.001063638196341386e-02
1.735419777707647881e+01,-9.226539431231681188e-03
1.864263872370830910e+01,-8.461030316419950598e-03
2.002673837460764972e+01,-7.711854030149971687e-03
2.151359879194204439e+01,-6.976642341009964970e-03
2.311084932169927697e+01,-6.252702392803833470e-03
2.482668574122242688e+01,-5.533955275433531142e-03
2.666991231320519162e+01,-4.814540121557076002e-03
2.864998696193394778e+01,-4.080516414030323225e-03
3.077706980358414057e+01,-3.311492789127482624e-03
3.306207527958858350e+01,-2.433484577390523061e-03
3.551672816058290749e+01,2.328853253980331210e-03
3.815362370829489436e+01,-3.080637858656441741e-03
4.098629230407895818e+01,-2.819028176277292574e-03
4.402926887571579329e+01,-2.590838726502017741e-02
4.729816747871947058e+01,4.924339052061148378e-04
5.080976141484080699e+01,1.338962595773070382e-03
5.458206929887038683e+01,2.801404687209137646e-04
5.863444751536479060e+01,-1.373968722710081384e-03
6.298768953970795792e+01,-4.203410746791598485e-02
6.766413263314167637e+01,1.933768085612404524e-03
7.268777245923755004e+01,2.464780643524596343e-05
7.808438620992613721e+01,-1.433155771241504013e-03
8.388166487286586914e+01,-4.585656318394638583e-04
9.010935531884018701e+01,-5.554175625894374911e-05
9.679941293825672233e+01,-7.676356659774766569e-03
1.039861656099542415e+02,-1.785128921202097929e-01
1.117064898436724434e+02,-1.100322932568630410e-02
1.199999999999999716e+02,-1.421862649407013186e-02
