# rs, eps_c
1.000000000000000194e-01,-1.258637537525043870e-01
1.074243762989364748e-01,-1.236801990719842703e-01
1.153999662321550795e-01,-1.215012319916708161e-01
1.239676939740758793e-01,-1.193271412381370217e-01
1.331715220638252373e-01,-1.171582284713037214e-01
1.430586769848648521e-01,-1.149948086731027580e-01
1.536798914925012471e-01,-1.128372105472737752e-01
1.650896649327017740e-01,-1.106857768498960698e-01
1.773465428879588968e-01,-1.085408647620543232e-01
1.905134175851157519e-01,-1.064028462303452383e-01
2.046578506065989678e-01,-1.042721083391762171e-01
2.198524195609480869e-01,-1.021490535625395879e-01
2.361750904914695082e-01,-1.000341001645939643e-01
2.537096179339099478e-01,-9.792768297101885067e-02
2.725459746759174018e-01,-9.583026927756568836e-02
2.927808134234615722e-01,-9.374233706187343196e-02
3.145179627431064495e-01,-9.166437341226839342e-02
3.378689598249035586e-01,-8.959688250871852833e-02
3.629536227996068010e-01,-8.754038575787728704e-02
3.899006655468721383e-01,-8.549542183978554866e-02
4.188483581491296293e-01,-8.346254684811586777e-02
4.499452363800381938e-01,-8.144233433506381514e-02
4.833508638680313330e-01,-7.943537535441658193e-02
5.192366508457542107e-01,-7.744229310631417507e-02
5.577867336865379722e-01,-7.546377128436876358e-02
5.991989197409730572e-01,-7.350046184308270392e-02
6.436857023217052998e-01,-7.155302773424028484e-02
6.914753510445206253e-01,-6.962214805317375188e-02
7.428130831204579065e-01,-6.770851809021041778e-02
7.979623216090523385e-01,-6.581288239390019335e-02
8.572060470890379147e-01,-6.393606607041303624e-02
9.208482496821668306e-01,-6.207881201404619187e-02
9.892154888807408453e-01,-6.024186873647662671e-02
1.062658569182610924e+00,-5.842600696976257141e-02
1.141554340131622602e+00,-5.663214372972971700e-02
1.226307629999835225e+00,-5.486109270187013165e-02
1.317353323033592316e+00,-5.311362183291379324e-02
1.415158590922150239e+00,-5.139058741952352155e-02
1.520225289938938129e+00,-4.969292983277663611e-02
1.633092536055602562e+00,-4.802139099552155121e-02
1.754339471242215120e+00,-4.637680916619989907e-02
1.884588235148010105e+00,-4.476010085685497297e-02
2.024507157410883718e+00,-4.317193422078344223e-02
2.174814186975969843e+00,-4.161319378467322194e-02
2.336280576019721167e+00,-4.008456672826064826e-02
2.509734837382386452e+00,-3.858672455288576081e-02
2.696066995815155742e+00,-3.712038422102835467e-02
2.896233154855904601e+00,-3.568603716430292921e-02
3.111260402766967026e+00,-3.428430813931448995e-02
3.342252082708192962e+00,-3.291554729579791727e-02
3.590393454187490008e+00,-3.158021678977092350e-02
3.856957774838751796e+00,-3.027854436796401788e-02
4.143312833733869383e+00,-2.901077331079836980e-02
4.450927969752398461e+00,-2.777704668994871937e-02
4.781381611021429556e+00,-2.657735417471285624e-02
5.136369374111810160e+00,-2.541174918971565722e-02
5.517712764549201232e+00,-2.428005472087472333e-02
5.927368523283786494e+00,-2.318210162425038065e-02
6.367438667077084169e+00,-2.211763976517423097e-02
6.840181274324874217e+00,-2.108635852428054555e-02
7.348022071660136767e+00,-2.008789341809237919e-02
7.893566880789094853e+00,-1.912183297274736710e-02
8.479614989427101790e+00,-1.818772622046393311e-02
9.109173514943186944e+00,-1.728508560387009840e-02
9.785472834415630317e+00,-1.641338854494580474e-02
1.051198316027285351e+01,-1.557208704009704903e-02
1.129243234657233863e+01,-1.476061305443877349e-02
1.213082501728469431e+01,-1.397843679739666813e-02
1.303146311473343921e+01,-1.322486719030532831e-02
1.399896797362834810e+01,-1.249935339831636030e-02
1.503830403395812354e+01,-1.180128758120969207e-02
1.615480431441730858e+01,-1.113002299408179588e-02
1.735419777707647881e+01,-1.048492764510345829e-02
1.864263872370830910e+01,-9.865422196091351917e-03
2.002673837460764972e+01,-9.270838910863976254e-03
2.151359879194204439e+01,-8.700507730327530775e-03
2.311084932169927697e+01,-8.153840933074021566e-03
2.482668574122242688e+01,-7.630163339121904739e-03
2.666991231320519162e+01,-7.128821450345993599e-03
2.864998696193394778e+01,-6.649195840252730347e-03
3.077706980358414057e+01,-6.190609889417757888e-03
3.306207527958858350e+01,-5.752406433934126317e-03
3.551672816058290749e+01,-5.333995530514319336e-03
3.815362370829489436e+01,-4.934614761130892181e-03
4.098629230407895818e+01,-4.543616692587818147e-03
4.402926887571579329e+01,-4.177008577899586107e-03
4.729816747871947058e+01,-3.830687048490099243e-03
5.080976141484080699e+01,-3.501811150761435093e-03
5.458206929887038683e+01,-3.189244541483368060e-03
5.863444751536479060e+01,-2.892137005038893701e-03
6.298768953970795792e+01,-2.609715528477276128e-03
6.766413263314167637e+01,-2.341013632054277267e-03
7.268777245923755004e+01,-2.086576813179919377e-03
7.808438620992613721e+01,-1.842556904109433555e-03
8.388166487286586914e+01,-1.611832664594193588e-03
9.010935531884018701e+01,-1.391192177580090469e-03
9.679941293825672233e+01,-1.183120498302332735e-03
1.039861656099542415e+02,-9.888977928174370012e-04
1.117064898436724434e+02,-7.883502754857251056e-04
1.199999999999999716e+02,-6.198746115306966002e-04
