# rs, eps_c
1.000000000000000194e-01,-1.192359222640994587e-01
1.074243762989364748e-01,-1.171656412230631245e-01
1.153999662321550795e-01,-1.151031786056427864e-01
1.239676939740758793e-01,-1.130487332952551105e-01
1.331715220638252373e-01,-1.110027763656746547e-01
1.430586769848648521e-01,-1.089656231120142704e-01
1.536798914925012471e-01,-1.069376199505781277e-01
1.650896649327017740e-01,-1.049191426683287465e-01
1.773465428879588968e-01,-1.029105607514016751e-01
1.905134175851157519e-01,-1.009122596620655454e-01
2.046578506065989678e-01,-9.892463174851516550e-02
2.198524195609480869e-01,-9.694807792093353138e-02
2.361750904914695082e-01,-9.498300803890952215e-02
2.537096179339099478e-01,-9.302983323692488871e-02
2.725459746759174018e-01,-9.108898564394447839e-02
2.927808134234615722e-01,-8.916089595505526100e-02
3.145179627431064495e-01,-8.724600040413453550e-02
3.378689598249035586e-01,-8.534474230738209322e-02
3.629536227996068010e-01,-8.345756978985813257e-02
3.899006655468721383e-01,-8.158493529901472696e-02
4.188483581491296293e-01,-7.972729536154306296e-02
4.499452363800381938e-01,-7.788510871479024933e-02
4.833508638680313330e-01,-7.605883738516160120e-02
5.192366508457542107e-01,-7.424894708422979939e-02
5.577867336865379722e-01,-7.245591506508212987e-02
5.991989197409730572e-01,-7.068020635740818181e-02
6.436857023217052998e-01,-6.892228254398366505e-02
6.914753510445206253e-01,-6.718260210106061225e-02
7.428130831204579065e-01,-6.546161853306518841e-02
7.979623216090523385e-01,-6.375978769072566943e-02
8.572060470890379147e-01,-6.207757700294155162e-02
9.208482496821668306e-01,-6.041542002116963989e-02
9.892154888807408453e-01,-5.877373754203812917e-02
1.062658569182610924e+00,-5.715293954603065107e-02
1.141554340131622602e+00,-5.555346340427784468e-02
1.226307629999835225e+00,-5.397570055654060672e-02
1.317353323033592316e+00,-5.242000930139353171e-02
1.415158590922150239e+00,-5.088675350645281009e-02
1.520225289938938129e+00,-4.937630939789100504e-02
1.633092536055602562e+00,-4.788896895296591849e-02
1.754339471242215120e+00,-4.642503262195732394e-02
1.884588235148010105e+00,-4.498481683492865785e-02
2.024507157410883718e+00,-4.356853099358751202e-02
2.174814186975969843e+00,-4.217644565837441739e-02
2.336280576019721167e+00,-4.080875404725767264e-02
2.509734837382386452e+00,-3.946562237365312809e-02
2.696066995815155742e+00,-3.814724094357570955e-02
2.896233154855904601e+00,-3.685369574487142724e-02
3.111260402766967026e+00,-3.558513747115938514e-02
3.342252082708192962e+00,-3.434159784941868965e-02
3.590393454187490008e+00,-3.312317204859168557e-02
3.856957774838751796e+00,-3.192985314243400319e-02
4.143312833733869383e+00,-3.076166873400471014e-02
4.450927969752398461e+00,-2.961859232227465055e-02
4.781381611021429556e+00,-2.850057592759161484e-02
5.136369374111810160e+00,-2.740757484601655941e-02
5.517712764549201232e+00,-2.633949360764917952e-02
5.927368523283786494e+00,-2.529622203571537525e-02
6.367438667077084169e+00,-2.427763184648558392e-02
6.840181274324874217e+00,-2.328357291382721767e-02
7.348022071660136767e+00,-2.231387262826358200e-02
7.893566880789094853e+00,-2.136833488042113455e-02
8.479614989427101790e+00,-2.044673611928719825e-02
9.109173514943186944e+00,-1.954881684587847154e-02
9.785472834415630317e+00,-1.867428849705295157e-02
1.051198316027285351e+01,-1.782282878429851738e-02
1.129243234657233863e+01,-1.699407902201924281e-02
1.213082501728469431e+01,-1.618769457164991044e-02
1.303146311473343921e+01,-1.540313616536389922e-02
1.399896797362834810e+01,-1.463993800030029963e-02
1.503830403395812354e+01,-1.389743158441661235e-02
1.615480431441730858e+01,-1.317492944351505296e-02
1.735419777707647881e+01,-1.247170730457325752e-02
1.864263872370830910e+01,-1.178693293160904682e-02
2.002673837460764972e+01,-1.111918093331785463e-02
2.151359879194204439e+01,-1.046722591968664642e-02
2.311084932169927697e+01,-9.829546493768659410e-03
2.482668574122242688e+01,-9.203266346973999756e-03
2.666991231320519162e+01,-8.585985879045930635e-03
2.864998696193394778e+01,-7.972007830063927020e-03
3.077706980358414057e+01,-7.354784698230804399e-03
3.306207527958858350e+01,-6.717158490460361543e-03
3.551672816058290749e+01,-6.017300311562493419e-03
3.815362370829489436e+01,-5.309978705092701159e-03
4.098629230407895818e+01,-5.100448662716448173e-03
4.402926887571579329e+01,-4.789978190170941785e-03
4.729816747871947058e+01,-4.219257568434916020e-03
5.080976141484080699e+01,-3.656084804256852505e-03
5.458206929887038683e+01,-1.169166271905295283e-02
5.863444751536479060e+01,-4.123415578937738961e-03
6.298768953970795792e+01,-8.244782153340322189e-03
6.766413263314167637e+01,2.204604183613517602e-04
7.268777245923755004e+01,-4.148322176148590366e-04
7.808438620992613721e+01,-5.839622054565841471e-03
8.388166487286586914e+01,2.333997663637280961e-03
9.010935531884018701e+01,-3.171189481791937548e-03
9.679941293825672233e+01,-2.175563464751224634e-03
1.039861656099542415e+02,-8.643132958819892825e-03
1.117064898436724434e+02,-6.086685049075390118e-03
1.199999999999999716e+02,6.321228992729982336e-04
