# rs, eps_c
1.000000000000000194e-01,-1.266031738394511053e-01
1.074243762989364748e-01,-1.244538458684572024e-01
1.153999662321550795e-01,-1.223101744054062578e-01
1.239676939740758793e-01,-1.201724571204006720e-01
1.331715220638252373e-01,-1.180410014834664401e-01
1.430586769848648521e-01,-1.159161247719497911e-01
1.536798914925012471e-01,-1.137981540784483020e-01
1.650896649327017740e-01,-1.116874262462847489e-01
1.773465428879588968e-01,-1.095842878525733338e-01
1.905134175851157519e-01,-1.074890951777436737e-01
2.046578506065989678e-01,-1.054022142423689246e-01
2.198524195609480869e-01,-1.033240207818939688e-01
2.361750904914695082e-01,-1.012549004588388646e-01
2.537096179339099478e-01,-9.919524957648179209e-02
2.725459746759174018e-01,-9.714549122671636838e-02
2.927808134234615722e-01,-9.510605408248770654e-02
3.145179627431064495e-01,-9.307737142522282126e-02
3.378689598249035586e-01,-9.105989034131592441e-02
3.629536227996068010e-01,-8.905407374886803451e-02
3.899006655468721383e-01,-8.706040318908195297e-02
4.188483581491296293e-01,-8.507938281617741239e-02
4.499452363800381938e-01,-8.311154468997741795e-02
4.833508638680313330e-01,-8.115745578055150178e-02
5.192366508457542107e-01,-7.921774289464837693e-02
5.577867336865379722e-01,-7.729313595469679277e-02
5.991989197409730572e-01,-7.538438126333141254e-02
6.436857023217052998e-01,-7.349230180615384800e-02
6.914753510445206253e-01,-7.161781793890240055e-02
7.428130831204579065e-01,-6.976196046947004403e-02
7.979623216090523385e-01,-6.792591745858864161e-02
8.572060470890379147e-01,-6.611107243159100588e-02
9.208482496821668306e-01,-6.431879156025958888e-02
9.892154888807408453e-01,-6.255048416082642504e-02
1.062658569182610924e+00,-6.080755999359556407e-02
1.141554340131622602e+00,-5.909151367318427051e-02
1.226307629999835225e+00,-5.740351634685209037e-02
1.317353323033592316e+00,-5.574439338967866059e-02
1.415158590922150239e+00,-5.411474342030415940e-02
1.520225289938938129e+00,-5.251492323906813142e-02
1.633092536055602562e+00,-5.094464289108778521e-02
1.754339471242215120e+00,-4.940343252744623659e-02
1.884588235148010105e+00,-4.789072674354002274e-02
2.024507157410883718e+00,-4.640541706742252331e-02
2.174814186975969843e+00,-4.494670861541845419e-02
2.336280576019721167e+00,-4.351354625714294599e-02
2.509734837382386452e+00,-4.210495609714202253e-02
2.696066995815155742e+00,-4.072029918197881543e-02
2.896233154855904601e+00,-3.935872916127828441e-02
3.111260402766967026e+00,-3.802001949118835600e-02
3.342252082708192962e+00,-3.670365339438796948e-02
3.590393454187490008e+00,-3.540976984703223668e-02
3.856957774838751796e+00,-3.413825266427954197e-02
4.143312833733869383e+00,-3.288947005107790977e-02
4.450927969752398461e+00,-3.166378025618538788e-02
4.781381611021429556e+00,-3.046156907643050513e-02
5.136369374111810160e+00,-2.928363466769148132e-02
5.517712764549201232e+00,-2.813045349623048696e-02
5.927368523283786494e+00,-2.700276772813685680e-02
6.367438667077084169e+00,-2.590129365979776388e-02
6.840181274324874217e+00,-2.482674656108048439e-02
7.348022071660136767e+00,-2.377982026598882137e-02
7.893566880789094853e+00,-2.276116857116154343e-02
8.479614989427101790e+00,-2.177139474688439408e-02
9.109173514943186944e+00,-2.081103615328668693e-02
9.785472834415630317e+00,-1.988052277046610528e-02
1.051198316027285351e+01,-1.898018305571419831e-02
1.129243234657233863e+01,-1.811023668963229749e-02
1.213082501728469431e+01,-1.727084303067358620e-02
1.303146311473343921e+01,-1.646189632054866764e-02
1.399896797362834810e+01,-1.568333168090218707e-02
1.503830403395812354e+01,-1.493492465314348941e-02
1.615480431441730858e+01,-1.421627002198885305e-02
1.735419777707647881e+01,-1.352687567454774475e-02
1.864263872370830910e+01,-1.286623095635248959e-02
2.002673837460764972e+01,-1.223360579277943394e-02
2.151359879194204439e+01,-1.162819014745771623e-02
2.311084932169927697e+01,-1.104926091955841724e-02
2.482668574122242688e+01,-1.049578489945199658e-02
2.666991231320519162e+01,-9.966922463217502137e-03
2.864998696193394778e+01,-9.461594543945895525e-03
3.077706980358414057e+01,-8.978931754892321287e-03
3.306207527958858350e+01,-8.517685928206616269e-03
3.551672816058290749e+01,-8.077226995397989578e-03
3.815362370829489436e+01,-7.656221734705658671e-03
4.098629230407895818e+01,-7.244279167992192375e-03
4.402926887571579329e+01,-6.856325182848313667e-03
4.729816747871947058e+01,-6.488119179110266206e-03
5.080976141484080699e+01,-6.136598177276124388e-03
5.458206929887038683e+01,-5.800326376328622524e-03
5.863444751536479060e+01,-5.478069893178111674e-03
6.298768953970795792e+01,-5.168981145295301408e-03
6.766413263314167637e+01,-4.868042568824404621e-03
7.268777245923755004e+01,-4.569862800493801509e-03
7.808438620992613721e+01,-4.306076037788765000e-03
8.388166487286586914e+01,-4.078215855064637636e-03
9.010935531884018701e+01,-3.841295517297405211e-03
9.679941293825672233e+01,-3.494207301851098846e-03
1.039861656099542415e+02,-3.252821826151221143e-03
1.117064898436724434e+02,-2.973715071272411622e-03
1.199999999999999716e+02,-2.813570650879690903e-03
