# zeta, rs_eq
0.000000000000000000e+00,4.185013796259209329e+00
5.025125628135678098e-03,4.185053287997938298e+00
1.005025125627135620e-02,4.185171761924656231e+00
1.507537688440703516e-02,4.185369214171418051e+00
2.010050251254271239e-02,4.185645638292995407e+00
2.512562814067838962e-02,4.186001025268963005e+00
3.015075376881407032e-02,4.186435363506576302e+00
3.517587939694974408e-02,4.186948638844461001e+00
4.020100502508542478e-02,4.187540834557180069e+00
4.522613065322110548e-02,4.188211931360546814e+00
5.025125628135677924e-02,4.188961907417843022e+00
5.527638190949245994e-02,4.189790738346787613e+00
6.030150753762814064e-02,4.190698397227397898e+00
6.532663316576381440e-02,4.191684854610625344e+00
7.035175879389948816e-02,4.192750078527832436e+00
7.537688442203517580e-02,4.193894034501104429e+00
8.040201005017084956e-02,4.195116685554368452e+00
8.542713567830652333e-02,4.196417992225377702e+00
9.045226130644221096e-02,4.197797912578443480e+00
9.547738693457788473e-02,4.199256402218098927e+00
1.005025125627135585e-01,4.200793414303494622e+00
1.055276381908492461e-01,4.202408899563683242e+00
1.105527638189849199e-01,4.204102806313700924e+00
1.155778894471205936e-01,4.205875080471486172e+00
1.206030150752562813e-01,4.207725665575638985e+00
1.256281407033919550e-01,4.209654502803991782e+00
1.306532663315276288e-01,4.211661530993010771e+00
1.356783919596633026e-01,4.213746686658046414e+00
1.407035175877989763e-01,4.215909904014387699e+00
1.457286432159346778e-01,4.218151114999180606e+00
1.507537688440703516e-01,4.220470249294147713e+00
1.557788944722060254e-01,4.222867234349158672e+00
1.608040201003416991e-01,4.225341995406624918e+00
1.658291457284773729e-01,4.227894455526733708e+00
1.708542713566130467e-01,4.230524535613533921e+00
1.758793969847487204e-01,4.233232154441807005e+00
1.809045226128844219e-01,4.236017228684840319e+00
1.859296482410200957e-01,4.238879672942976740e+00
1.909547738691557695e-01,4.241819399773055999e+00
1.959798994972914432e-01,4.244836319718634066e+00
2.010050251254271170e-01,4.247930341341128901e+00
2.060301507535627907e-01,4.251101371251695404e+00
2.110552763816984922e-01,4.254349314144050709e+00
2.160804020098341660e-01,4.257674072828057987e+00
2.211055276379698398e-01,4.261075548264206425e+00
