q/kF,G-,G- error
0.078125,0.000824,0.000044
0.15625,0.003272,0.000117
0.234376,0.007371,0.000304
0.312499,0.013154,0.000547
0.390625,0.020781,0.001021
0.468749,0.029793,0.001194
0.546875,0.040901,0.00183
0.624999,0.053587,0.002274
0.703125,0.067805,0.002673
0.781251,0.08428,0.002944
0.859375,0.103236,0.004229
0.937501,0.123565,0.004923
1.015624,0.143988,0.004274
1.09375,0.169661,0.005422
1.171874,0.194056,0.004765
1.25,0.22352,0.006482
1.328126,0.255884,0.010356
1.40625,0.285222,0.005698
1.484376,0.320077,0.008258
1.5625,0.356673,0.009763
1.640625,0.380616,0.020302
1.718749,0.420086,0.015023
1.796875,0.444868,0.029268
1.874999,0.46008,0.049562
1.953125,0.461928,0.07247
2.031251,0.45749,0.042925
2.109383,0.439825,0.0426
2.187501,0.398459,0.066337
2.265618,0.404117,0.070067
2.343757,0.437163,0.157657
