q/kF,G+,G+ error
0.078125,0.001548,0.00008
0.15625,0.006192,0.000315
0.234375,0.013948,0.000699
0.3125,0.024789,0.001216
0.390625,0.038896,0.001904
0.46875,0.056012,0.002494
0.546875,0.076575,0.003652
0.624998,0.100667,0.004604
0.703126,0.127755,0.005805
0.781249,0.158993,0.006949
0.859377,0.193501,0.008177
0.9375,0.232909,0.009844
1.015628,0.275957,0.011309
1.09375,0.323564,0.012826
1.171873,0.376339,0.014763
1.250001,0.434236,0.016332
1.328124,0.498196,0.01855
1.406252,0.568132,0.021214
1.484375,0.644384,0.022937
1.562497,0.726129,0.025101
1.640625,0.813892,0.026878
1.718748,0.909638,0.029903
1.796876,1.003722,0.030645
1.874999,1.089566,0.033822
1.953127,1.138034,0.036238
2.03125,1.097369,0.043628
2.109373,1.048691,0.052635
2.187501,1.020159,0.056224
2.265623,1.013409,0.058456
2.343751,1.007986,0.060527
2.421874,0.998108,0.074708
