# q/kF, Gs(q) RA, Ga(q) RA, Gn(q) RA, G+(q) RA, G-(q) RA,G+ ALDA, G+(q) Corradini, G+(q) rMCP07
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-02,1.905756103660097419e-03,9.333151486229081337e-04,-1.604792772417594092e-04,1.745276826418338091e-03,7.728358713811486974e-04,1.744777157173620563e-03,1.745346859727777951e-03,1.744175551448935062e-03
1.562500000000000000e-01,7.630790160162262067e-03,3.738968622077094330e-03,-6.436806998201965741e-04,6.987109460342065710e-03,3.095287922256897972e-03,6.979108628694482251e-03,6.988135291449022388e-03,6.969492851037333361e-03
2.343750000000000000e-01,1.719849184604936576e-02,8.434170174728866307e-03,-1.454862082569412587e-03,1.574362976347995491e-02,6.979308092159453719e-03,1.570299441456258702e-02,1.574794446442135884e-02,1.565440180776316026e-02
3.125000000000000000e-01,3.064820358696507610e-02,1.504788296685397389e-02,-2.602673455382304574e-03,2.804553013158277153e-02,1.244520951147166932e-02,2.791643451477792900e-02,2.805519263284252801e-02,2.776326669343849585e-02
3.906250000000000000e-01,4.803592689256622195e-02,2.362122281604819504e-02,-4.098976417178198939e-03,4.393695047538802301e-02,1.952224639886999610e-02,4.361942892934050908e-02,4.394782656791167141e-02,4.324685442735256430e-02
4.687500000000000000e-01,6.943559562312821842e-02,3.420796588634944513e-02,-5.958568277339881987e-03,6.347702734578833383e-02,2.824939760900956401e-02,6.281197765825034807e-02,6.346672896261713881e-02,6.204312488179339335e-02
5.468750000000000000e-01,9.494108043601603986e-02,4.687509122288299052e-02,-8.198786511338764307e-03,8.674229392467727728e-02,3.867630471154422794e-02,8.549408070150739392e-02,8.664993152032261781e-02,8.407836952685522613e-02
6.250000000000000000e-01,1.246689505289927807e-01,6.170322838713190872e-02,-1.083895987384422312e-02,1.138299906551485524e-01,5.086426851328768733e-02,1.116657380591117160e-01,1.135257968424458613e-01,1.092686775786969045e-01
7.031250000000000000e-01,1.587617162464573795e-01,7.878679190654903908e-02,-1.389966166850929198e-02,1.448620545779480961e-01,6.488713023803974189e-02,1.413269497310632727e-01,1.441054240966146427e-01,1.375215957285835788e-01
