# rs, eps_c
1.000000000000000194e-01,-1.190048423942532962e-01
1.074243762989364748e-01,-1.169083365080934855e-01
1.153999662321550795e-01,-1.148186412981620774e-01
1.239676939740758793e-01,-1.127361201995733808e-01
1.331715220638252373e-01,-1.106611457169030532e-01
1.430586769848648521e-01,-1.085940489466477171e-01
1.536798914925012471e-01,-1.065352326541073036e-01
1.650896649327017740e-01,-1.044851187652988123e-01
1.773465428879588968e-01,-1.024440982226679508e-01
1.905134175851157519e-01,-1.004125921076682165e-01
2.046578506065989678e-01,-9.839108380108467500e-02
2.198524195609480869e-01,-9.637999734507249339e-02
2.361750904914695082e-01,-9.437982912399212054e-02
2.537096179339099478e-01,-9.239104824885337186e-02
2.725459746759174018e-01,-9.041416522573096637e-02
2.927808134234615722e-01,-8.844969063646218599e-02
3.145179627431064495e-01,-8.649814990125548331e-02
3.378689598249035586e-01,-8.456008373583723259e-02
3.629536227996068010e-01,-8.263605389429681813e-02
3.899006655468721383e-01,-8.072661573277233049e-02
4.188483581491296293e-01,-7.883235657439084665e-02
4.499452363800381938e-01,-7.695385852256267367e-02
4.833508638680313330e-01,-7.509172668245431281e-02
5.192366508457542107e-01,-7.324656117612596273e-02
5.577867336865379722e-01,-7.141898250898379152e-02
5.991989197409730572e-01,-6.960961009060726012e-02
6.436857023217052998e-01,-6.781905766725374041e-02
6.914753510445206253e-01,-6.604794908553834887e-02
7.428130831204579065e-01,-6.429690022242938452e-02
7.979623216090523385e-01,-6.256652248675449723e-02
8.572060470890379147e-01,-6.085740889045295615e-02
9.208482496821668306e-01,-5.917014327156008141e-02
9.892154888807408453e-01,-5.750527338614669359e-02
1.062658569182610924e+00,-5.586333201294504947e-02
1.141554340131622602e+00,-5.424480561120922917e-02
1.226307629999835225e+00,-5.265013866270905341e-02
1.317353323033592316e+00,-5.107970761626453443e-02
1.415158590922150239e+00,-4.953384959487018568e-02
1.520225289938938129e+00,-4.801281747390459542e-02
1.633092536055602562e+00,-4.651677606122724129e-02
1.754339471242215120e+00,-4.504581425087337415e-02
1.884588235148010105e+00,-4.359991921918088265e-02
2.024507157410883718e+00,-4.217897630061684389e-02
2.174814186975969843e+00,-4.078277400463182351e-02
2.336280576019721167e+00,-3.941099659303012870e-02
2.509734837382386452e+00,-3.806324195949067901e-02
2.696066995815155742e+00,-3.673901711011187676e-02
2.896233154855904601e+00,-3.543777245132632286e-02
3.111260402766967026e+00,-3.415890340190494423e-02
3.342252082708192962e+00,-3.290177686170999566e-02
3.590393454187490008e+00,-3.166577269478144246e-02
3.856957774838751796e+00,-3.045028642230221405e-02
4.143312833733869383e+00,-2.925475819274606093e-02
4.450927969752398461e+00,-2.807870293723382926e-02
4.781381611021429556e+00,-2.692172556956630436e-02
5.136369374111810160e+00,-2.578847440506550071e-02
5.517712764549201232e+00,-2.468237630156495943e-02
5.927368523283786494e+00,-2.359492167865017559e-02
6.367438667077084169e+00,-2.252633436883492296e-02
6.840181274324874217e+00,-2.147653935491030189e-02
7.348022071660136767e+00,-2.044567502869525794e-02
7.893566880789094853e+00,-1.943395877018802911e-02
8.479614989427101790e+00,-1.844167319298386717e-02
9.109173514943186944e+00,-1.746912658504949645e-02
9.785472834415630317e+00,-1.651663682382347245e-02
1.051198316027285351e+01,-1.558448572367429966e-02
1.129243234657233863e+01,-1.467287364612073798e-02
1.213082501728469431e+01,-1.378191488634431146e-02
1.303146311473343921e+01,-1.291158263715233914e-02
1.399896797362834810e+01,-1.206168086483595803e-02
1.503830403395812354e+01,-1.123181624916412720e-02
1.615480431441730858e+01,-1.042133606085265431e-02
1.735419777707647881e+01,-9.629329644962847726e-03
1.864263872370830910e+01,-8.854488135031857859e-03
2.002673837460764972e+01,-8.095032066379320712e-03
2.151359879194204439e+01,-7.348566950252365462e-03
2.311084932169927697e+01,-6.611754587307033804e-03
2.482668574122242688e+01,-5.879813046640848528e-03
2.666991231320519162e+01,-5.145495401001397816e-03
2.864998696193394778e+01,-4.396804261337183481e-03
3.077706980358414057e+01,-3.610529017894797098e-03
3.306207527958858350e+01,-2.722660936954573833e-03
3.551672816058290749e+01,inf
3.815362370829489436e+01,inf
4.098629230407895818e+01,inf
4.402926887571579329e+01,inf
4.729816747871947058e+01,inf
5.080976141484080699e+01,inf
5.458206929887038683e+01,inf
5.863444751536479060e+01,inf
6.298768953970795792e+01,inf
6.766413263314167637e+01,inf
7.268777245923755004e+01,inf
7.808438620992613721e+01,inf
8.388166487286586914e+01,inf
9.010935531884018701e+01,inf
9.679941293825672233e+01,inf
1.039861656099542415e+02,inf
1.117064898436724434e+02,inf
1.199999999999999716e+02,inf
