# rs, eps_c
1.000000000000000194e-01,-1.202095562021131825e-01
1.074243762989364748e-01,-1.181200626175070434e-01
1.153999662321550795e-01,-1.160377098523923400e-01
1.239676939740758793e-01,-1.139625507560379780e-01
1.331715220638252373e-01,-1.118949227349651798e-01
1.430586769848648521e-01,-1.098350350995610097e-01
1.536798914925012471e-01,-1.077834641690102457e-01
1.650896649327017740e-01,-1.057403246530485841e-01
1.773465428879588968e-01,-1.037060436089337623e-01
1.905134175851157519e-01,-1.016809395198899901e-01
2.046578506065989678e-01,-9.966539951444886025e-02
2.198524195609480869e-01,-9.765977451052612612e-02
2.361750904914695082e-01,-9.566441759350596818e-02
2.537096179339099478e-01,-9.367972791640767627e-02
2.725459746759174018e-01,-9.170609281954818226e-02
2.927808134234615722e-01,-8.974389330836510248e-02
3.145179627431064495e-01,-8.779354586189086485e-02
3.378689598249035586e-01,-8.585544508945257280e-02
3.629536227996068010e-01,-8.392999724001076745e-02
3.899006655468721383e-01,-8.201761976667204523e-02
4.188483581491296293e-01,-8.011873031479514740e-02
4.499452363800381938e-01,-7.823375404643340136e-02
4.833508638680313330e-01,-7.636310518350368504e-02
5.192366508457542107e-01,-7.450722469364005895e-02
5.577867336865379722e-01,-7.266655215005433932e-02
5.991989197409730572e-01,-7.084152398046784926e-02
6.436857023217052998e-01,-6.903257344893157232e-02
6.914753510445206253e-01,-6.724013797443882667e-02
7.428130831204579065e-01,-6.546465070017595811e-02
7.979623216090523385e-01,-6.370655549785450567e-02
8.572060470890379147e-01,-6.196631489389742287e-02
9.208482496821668306e-01,-6.024436949409441022e-02
9.892154888807408453e-01,-5.854114880308611268e-02
1.062658569182610924e+00,-5.685708609088786086e-02
1.141554340131622602e+00,-5.519265427725258966e-02
1.226307629999835225e+00,-5.354829315590599326e-02
1.317353323033592316e+00,-5.192442082496082079e-02
1.415158590922150239e+00,-5.032147754052804234e-02
1.520225289938938129e+00,-4.873993358577451140e-02
1.633092536055602562e+00,-4.718018895775266675e-02
1.754339471242215120e+00,-4.564266255658677024e-02
1.884588235148010105e+00,-4.412781559314550572e-02
2.024507157410883718e+00,-4.263599492692743409e-02
2.174814186975969843e+00,-4.116770953501841523e-02
2.336280576019721167e+00,-3.972326518346229463e-02
2.509734837382386452e+00,-3.830304823045509177e-02
2.696066995815155742e+00,-3.690745976362959369e-02
2.896233154855904601e+00,-3.553679568169206687e-02
3.111260402766967026e+00,-3.419143162416939108e-02
3.342252082708192962e+00,-3.287161491161854493e-02
3.590393454187490008e+00,-3.157766748365340576e-02
3.856957774838751796e+00,-3.030979268208952582e-02
4.143312833733869383e+00,-2.906823225115388182e-02
4.450927969752398461e+00,-2.785315558777930883e-02
4.781381611021429556e+00,-2.666469936114731348e-02
5.136369374111810160e+00,-2.550299292599814138e-02
5.517712764549201232e+00,-2.436808832173662648e-02
5.927368523283786494e+00,-2.326000758372726712e-02
6.367438667077084169e+00,-2.217873160817593337e-02
6.840181274324874217e+00,-2.112419609151733671e-02
7.348022071660136767e+00,-2.009628994819229186e-02
7.893566880789094853e+00,-1.909485356107618742e-02
8.479614989427101790e+00,-1.811967479960498520e-02
9.109173514943186944e+00,-1.717048036993548688e-02
9.785472834415630317e+00,-1.624694214755566246e-02
1.051198316027285351e+01,-1.534867246732006876e-02
1.129243234657233863e+01,-1.447522134870762867e-02
1.213082501728469431e+01,-1.362612659742434146e-02
1.303146311473343921e+01,-1.280070460475617525e-02
1.399896797362834810e+01,-1.199831962060678853e-02
1.503830403395812354e+01,-1.121811030052602409e-02
1.615480431441730858e+01,-1.045916395718637752e-02
1.735419777707647881e+01,-9.720492979881763251e-03
1.864263872370830910e+01,-9.000964927685994182e-03
2.002673837460764972e+01,-8.298833494264346716e-03
2.151359879194204439e+01,-7.612489046589119776e-03
2.311084932169927697e+01,-6.939960936949790549e-03
2.482668574122242688e+01,-6.277917831614708566e-03
2.666991231320519162e+01,-5.623376554858539565e-03
2.864998696193394778e+01,-4.970126304993421201e-03
3.077706980358414057e+01,-4.311114022471874627e-03
3.306207527958858350e+01,-3.629460424821063895e-03
3.551672816058290749e+01,-2.887814173171083642e-03
3.815362370829489436e+01,-2.367074328237110063e-03
4.098629230407895818e+01,-6.867277029300805841e-06
4.402926887571579329e+01,2.995788252233597820e-03
4.729816747871947058e+01,3.302083978761088706e-04
5.080976141484080699e+01,6.650589655470225126e-03
5.458206929887038683e+01,-1.639843096974826593e-03
5.863444751536479060e+01,1.151679463484996113e-03
6.298768953970795792e+01,9.957983353266143881e-03
6.766413263314167637e+01,5.116296043098288171e-02
7.268777245923755004e+01,4.423024809611556842e-03
7.808438620992613721e+01,7.957927611376762423e-04
8.388166487286586914e+01,4.378186240399586579e-03
9.010935531884018701e+01,-2.635311406366613526e-03
9.679941293825672233e+01,5.822200261701905577e-02
1.039861656099542415e+02,1.501818324918725162e-02
1.117064898436724434e+02,-5.220684191390574658e-02
1.199999999999999716e+02,9.289537935634346313e-04
