# rs, eps_c
1.000000000000000194e-01,-1.438149868887529104e-01
1.074243762989364748e-01,-1.416703414732839728e-01
1.153999662321550795e-01,-1.395301697447109690e-01
1.239676939740758793e-01,-1.373946996034955959e-01
1.331715220638252373e-01,-1.352641682702200587e-01
1.430586769848648521e-01,-1.331388224937585518e-01
1.536798914925012471e-01,-1.310189187515216069e-01
1.650896649327017740e-01,-1.289047233587528041e-01
1.773465428879588968e-01,-1.267965125944330862e-01
1.905134175851157519e-01,-1.246945727652191138e-01
2.046578506065989678e-01,-1.225992002664893638e-01
2.198524195609480869e-01,-1.205107014833033952e-01
2.361750904914695082e-01,-1.184293927953533748e-01
2.537096179339099478e-01,-1.163556014545278905e-01
2.725459746759174018e-01,-1.142897008295109124e-01
2.927808134234615722e-01,-1.122320626095718032e-01
3.145179627431064495e-01,-1.101830515992873738e-01
3.378689598249035586e-01,-1.081430420956252247e-01
3.629536227996068010e-01,-1.061124172024100476e-01
3.899006655468721383e-01,-1.040915679215266981e-01
4.188483581491296293e-01,-1.020808921676578107e-01
4.499452363800381938e-01,-1.000807934938578170e-01
4.833508638680313330e-01,-9.809167962210389724e-02
5.192366508457542107e-01,-9.611400002439185464e-02
5.577867336865379722e-01,-9.414832935412981163e-02
5.991989197409730572e-01,-9.219512026139166372e-02
6.436857023217052998e-01,-9.025480833552927684e-02
6.914753510445206253e-01,-8.832782284421003549e-02
7.428130831204579065e-01,-8.641458307938452987e-02
7.979623216090523385e-01,-8.451560119187069564e-02
8.572060470890379147e-01,-8.263160987870420138e-02
9.208482496821668306e-01,-8.076304069990217216e-02
9.892154888807408453e-01,-7.891027457418282876e-02
1.062658569182610924e+00,-7.707369113296463903e-02
1.141554340131622602e+00,-7.525416674237236925e-02
1.226307629999835225e+00,-7.345219829511895338e-02
1.317353323033592316e+00,-7.166803190202010454e-02
1.415158590922150239e+00,-6.990220025944050841e-02
1.520225289938938129e+00,-6.815566651929379216e-02
1.633092536055602562e+00,-6.642851953797124231e-02
1.754339471242215120e+00,-6.472122262643822954e-02
1.884588235148010105e+00,-6.303482167899897293e-02
2.024507157410883718e+00,-6.136911691333822583e-02
2.174814186975969843e+00,-5.972516714713733965e-02
2.336280576019721167e+00,-5.810327213854188377e-02
2.509734837382386452e+00,-5.650361482322752149e-02
2.696066995815155742e+00,-5.492728592552388600e-02
2.896233154855904601e+00,-5.337390571847143439e-02
3.111260402766967026e+00,-5.184484160354082410e-02
3.342252082708192962e+00,-5.033951257771137472e-02
3.590393454187490008e+00,-4.885929564069400877e-02
3.856957774838751796e+00,-4.740364881447763079e-02
4.143312833733869383e+00,-4.597359472803208558e-02
4.450927969752398461e+00,-4.456919765595428184e-02
4.781381611021429556e+00,-4.319044970262024552e-02
5.136369374111810160e+00,-4.183844174844261049e-02
5.517712764549201232e+00,-4.051270481664550477e-02
5.927368523283786494e+00,-3.921365292054497520e-02
6.367438667077084169e+00,-3.794146544221355805e-02
6.840181274324874217e+00,-3.669628847749955430e-02
7.348022071660136767e+00,-3.547823297145268062e-02
7.893566880789094853e+00,-3.428737262520277496e-02
8.479614989427101790e+00,-3.312379119594507232e-02
9.109173514943186944e+00,-3.198763374610640031e-02
9.785472834415630317e+00,-3.087889850880797676e-02
1.051198316027285351e+01,-2.979753405533259666e-02
1.129243234657233863e+01,-2.874344051674457973e-02
1.213082501728469431e+01,-2.771651466302593389e-02
1.303146311473343921e+01,-2.671643325748845194e-02
1.399896797362834810e+01,-2.574304216104348481e-02
1.503830403395812354e+01,-2.479655188338152766e-02
1.615480431441730858e+01,-2.387666825193781456e-02
1.735419777707647881e+01,-2.298290219625017186e-02
1.864263872370830910e+01,-2.211477408096090835e-02
2.002673837460764972e+01,-2.127264585915351197e-02
2.151359879194204439e+01,-2.045589404533948441e-02
2.311084932169927697e+01,-1.966371710870491035e-02
2.482668574122242688e+01,-1.889666654576957483e-02
2.666991231320519162e+01,-1.815341217073700511e-02
2.864998696193394778e+01,-1.743442004051337993e-02
3.077706980358414057e+01,-1.673842770480831257e-02
3.306207527958858350e+01,-1.606592298343218622e-02
3.551672816058290749e+01,-1.541551071872659072e-02
3.815362370829489436e+01,-1.478730117814209578e-02
4.098629230407895818e+01,-1.418455602495679972e-02
4.402926887571579329e+01,-1.360031155061627861e-02
4.729816747871947058e+01,-1.303554703560315733e-02
5.080976141484080699e+01,-1.249066839964738801e-02
5.458206929887038683e+01,-1.196539376792886758e-02
5.863444751536479060e+01,-1.145928056720903199e-02
6.298768953970795792e+01,-1.097147760666619849e-02
6.766413263314167637e+01,-1.050247671242357864e-02
7.268777245923755004e+01,-1.004966998895177530e-02
7.808438620992613721e+01,-9.616404919514751071e-03
8.388166487286586914e+01,-9.195901638019041494e-03
9.010935531884018701e+01,-8.793711810409887697e-03
9.679941293825672233e+01,-8.411507949036441806e-03
1.039861656099542415e+02,-8.040954023297110231e-03
1.117064898436724434e+02,-7.678681084303784141e-03
1.199999999999999716e+02,-7.344768068330974342e-03
