# rs, eps_c
1.000000000000000194e-01,-1.425786492293232843e-01
1.074243762989364748e-01,-1.404549128114585266e-01
1.153999662321550795e-01,-1.383353643294907842e-01
1.239676939740758793e-01,-1.362202370150709108e-01
1.331715220638252373e-01,-1.341097918459579486e-01
1.430586769848648521e-01,-1.320042821450425063e-01
1.536798914925012471e-01,-1.299039406398183882e-01
1.650896649327017740e-01,-1.278090855469236620e-01
1.773465428879588968e-01,-1.257199635180868968e-01
1.905134175851157519e-01,-1.236369306169562976e-01
2.046578506065989678e-01,-1.215602823315594383e-01
2.198524195609480869e-01,-1.194903220458327919e-01
2.361750904914695082e-01,-1.174274017252518593e-01
2.537096179339099478e-01,-1.153718826317533530e-01
2.725459746759174018e-01,-1.133241171940086583e-01
2.927808134234615722e-01,-1.112844734917877998e-01
3.145179627431064495e-01,-1.092533452038099984e-01
3.378689598249035586e-01,-1.072311218211930706e-01
3.629536227996068010e-01,-1.052182370954487800e-01
3.899006655468721383e-01,-1.032150204105894697e-01
4.188483581491296293e-01,-1.012220026702135983e-01
4.499452363800381938e-01,-9.923958468831248214e-02
4.833508638680313330e-01,-9.726822637713664066e-02
5.192366508457542107e-01,-9.530837725417180828e-02
5.577867336865379722e-01,-9.336051609805830209e-02
5.991989197409730572e-01,-9.142515067657955297e-02
6.436857023217052998e-01,-8.950266923093241900e-02
6.914753510445206253e-01,-8.759366618350891698e-02
7.428130831204579065e-01,-8.569861006775691958e-02
7.979623216090523385e-01,-8.381799796514488587e-02
8.572060470890379147e-01,-8.195234732300916980e-02
9.208482496821668306e-01,-8.010216407971861019e-02
9.892154888807408453e-01,-7.826796880780260979e-02
1.062658569182610924e+00,-7.645032523818444392e-02
1.141554340131622602e+00,-7.464959140002165594e-02
1.226307629999835225e+00,-7.286643221160166162e-02
1.317353323033592316e+00,-7.110131350561534058e-02
1.415158590922150239e+00,-6.935472611942672394e-02
1.520225289938938129e+00,-6.762717717103136628e-02
1.633092536055602562e+00,-6.591915809407784821e-02
1.754339471242215120e+00,-6.423114353233091989e-02
1.884588235148010105e+00,-6.256361082532081730e-02
2.024507157410883718e+00,-6.091702376469289304e-02
2.174814186975969843e+00,-5.929179752908013412e-02
2.336280576019721167e+00,-5.768875687276919101e-02
2.509734837382386452e+00,-5.610730953269801868e-02
2.696066995815155742e+00,-5.454882453622036248e-02
2.896233154855904601e+00,-5.301341505963437506e-02
3.111260402766967026e+00,-5.150140883883139176e-02
3.342252082708192962e+00,-5.001318653474827458e-02
3.590393454187490008e+00,-4.854908563695160828e-02
3.856957774838751796e+00,-4.710943365595575416e-02
4.143312833733869383e+00,-4.569453773626094839e-02
4.450927969752398461e+00,-4.430477673465650634e-02
4.781381611021429556e+00,-4.294014833363279243e-02
5.136369374111810160e+00,-4.159863021988685627e-02
5.517712764549201232e+00,-4.027904693937690850e-02
5.927368523283786494e+00,-3.898603959330534940e-02
6.367438667077084169e+00,-3.771980332274406378e-02
6.840181274324874217e+00,-3.648051181590256098e-02
7.348022071660136767e+00,-3.526828283216752735e-02
7.893566880789094853e+00,-3.408325357482809570e-02
8.479614989427101790e+00,-3.292548541699356207e-02
9.109173514943186944e+00,-3.179502673589027634e-02
9.785472834415630317e+00,-3.069189067944289723e-02
1.051198316027285351e+01,-2.961605100768472873e-02
1.129243234657233863e+01,-2.856748624263778097e-02
1.213082501728469431e+01,-2.754607764578505952e-02
1.303146311473343921e+01,-2.655175336153471274e-02
1.399896797362834810e+01,-2.558430945175327320e-02
1.503830403395812354e+01,-2.464360930152363280e-02
1.615480431441730858e+01,-2.372944378763973405e-02
1.735419777707647881e+01,-2.284154133619056837e-02
1.864263872370830910e+01,-2.197966524460235466e-02
2.002673837460764972e+01,-2.114348443158271112e-02
2.151359879194204439e+01,-2.033268027780158263e-02
2.311084932169927697e+01,-1.954687811226141908e-02
2.482668574122242688e+01,-1.878568591148119596e-02
2.666991231320519162e+01,-1.804868545781965206e-02
2.864998696193394778e+01,-1.733543548161754072e-02
3.077706980358414057e+01,-1.664546585573881132e-02
3.306207527958858350e+01,-1.597830194403931231e-02
3.551672816058290749e+01,-1.533343824976088690e-02
3.815362370829489436e+01,-1.471038566244767948e-02
4.098629230407895818e+01,-1.411750709877243951e-02
4.402926887571579329e+01,-1.353936575492907697e-02
4.729816747871947058e+01,-1.297889988615821832e-02
5.080976141484080699e+01,-1.243736963724936112e-02
5.458206929887038683e+01,-1.191480728926137128e-02
5.863444751536479060e+01,-1.141088482981875672e-02
6.298768953970795792e+01,-1.092676526036496197e-02
6.766413263314167637e+01,-1.045863613993838759e-02
7.268777245923755004e+01,-1.000785188703877046e-02
7.808438620992613721e+01,-9.574141778293179458e-03
8.388166487286586914e+01,-9.157049165390816065e-03
9.010935531884018701e+01,-8.756092223517183970e-03
9.679941293825672233e+01,-8.370793403460164220e-03
1.039861656099542415e+02,-8.000679007475018992e-03
1.117064898436724434e+02,-7.645262902734806937e-03
1.199999999999999716e+02,-7.304088223788342271e-03
